1731571592331|212|statement|connection 0|url jdbc:p6spy:mysql://47.236.166.34:3306/monitoringsystem?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|show table status WHERE 1=1  AND NAME IN ('test')|show table status WHERE 1=1  AND NAME IN ('test')
1732376988900|75|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|show table status WHERE 1=1  AND NAME IN ('user')|show table status WHERE 1=1  AND NAME IN ('user')
1732376989254|67|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|show full fields from `user`|show full fields from `user`
1732377061865|73|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|show table status WHERE 1=1  AND NAME IN ('user')|show table status WHERE 1=1  AND NAME IN ('user')
1732377062212|66|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|show full fields from `user`|show full fields from `user`
1732378411858|72|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|select * from user;|select * from user;
1732378492733|67|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|select * from user;|select * from user;
1732381173074|70|statement|connection 1|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|select * from user;|select * from user;
1732381378968|73|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|select * from user;|select * from user;
1732381968204|72|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|select * from user;|select * from user;
1732382460901|75|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382460983|69|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382514960|75|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382515044|70|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382522628|68|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382522697|68|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382614261|68|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
1732382614337|63|statement|connection 0|url jdbc:p6spy:mysql://scnu.saigou.work:3306/scnu?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=UTC&allowMultiQueries=true&allowPublicKeyRetrieval=true|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=?|SELECT id,name,email,phone,account,password,login_ip,head_url,create_date,isban FROM user WHERE id=1
